7/12/2021,7/13/2021,Foundation,1
7/19/2021,7/20/2021,The Crater,2
7/26/2021,7/27/2021,Fort Atlas,3
8/5/2021,8/8/2021,Foundation,4
8/16/2021,8/17/2021,The Crater,5
8/23/2021,8/24/2021,Fort Atlas,6
8/30/2021,8/31/2021,Foundation,7
9/9/2021,9/12/2021,The Crater,8
9/20/2021,9/21/2021,Fort Atlas,9
9/27/2021,9/28/2021,Foundation,10
10/4/2021,10/5/2021,The Crater,11
10/14/2021,10/17/2021,Fort Atlas,12
10/25/2021,10/26/2021,Foundation,13
11/1/2021,11/2/2021,The Crater,14
11/8/2021,11/9/2021,Fort Atlas,15
11/18/2021,11/21/2021,Foundation,16
11/29/2021,11/30/2021,The Crater,17
12/6/2021,12/7/2021,Fort Atlas,18
12/13/2021,12/14/2021,Foundation,19
12/23/2021,12/26/2021,The Crater,20
1/3/2022,1/4/2022,Fort Atlas,21
1/10/2022,1/11/2022,Foundation,22
1/17/2022,1/18/2022,The Crater,23
1/27/2022,1/30/2022,Fort Atlas,24
2022:02:07 12:00:00,2022:02:09 12:00:00,Foundation,1
20220214T12:00:00,2/16/2022,The Crater,2
2/21/2022,2/23/2022,Fort Atlas,3
3/3/2022,3/6/2022,Foundation,1|2|3
3/14/2022,3/15/2022,The Crater,5
3/21/2022,3/22/2022,Fort Atlas,6
3/28/2022,3/29/2022,Foundation,7
4/7/2022,4/10/2022,The Crater,5|6|7
4/18/2022,4/20/2022,Fort Atlas,9
4/25/2022,4/27/2022,Foundation,10
5/2/2022,5/4/2022,The Crater,11
5/12/2022,5/16/2022,Fort Atlas,9|10|11
5/23/2022,5/25/2022,Foundation,13
5/30/2022,6/1/2022,The Crater,14
6/6/2022,6/8/2022,Fort Atlas,15
6/16/2022,6/20/2022,Foundation,13|14|15
6/27/2022,6/29/2022,The Crater,17
7/4/2022,7/6/2022,Fort Atlas,18
7/11/2022,7/13/2022,Foundation,19
7/21/2022,7/25/2022,The Crater,17|18|19
8/1/2022,8/3/2022,Fort Atlas,21
8/8/2022,8/10/2022,Foundation,22
8/15/2022,8/17/2022,The Crater,23
8/25/2022,8/29/2022,Fort Atlas,21|22|23
