7/12/2021,7/14/2021,Foundation,1
7/19/2021,7/21/2021,The Crater,2
7/26/2021,7/28/2021,Fort Atlas,3
8/5/2021,8/9/2021,Foundation,1|2|3
8/16/2021,8/18/2021,The Crater,5
8/23/2021,8/25/2021,Fort Atlas,6
8/30/2021,9/1/2021,Foundation,7
9/9/2021,9/13/2021,The Crater,5|6|7
9/20/2021,9/22/2021,Fort Atlas,9
9/27/2021,9/29/2021,Foundation,10
10/4/2021,10/6/2021,The Crater,11
10/14/2021,10/18/2021,Fort Atlas,9|10|11
10/25/2021,10/27/2021,Foundation,13
11/1/2021,11/3/2021,The Crater,14
11/8/2021,11/10/2021,Fort Atlas,15
11/18/2021,11/22/2021,Foundation,13|14|15
11/29/2021,12/1/2021,The Crater,17
12/6/2021,12/8/2021,Fort Atlas,18
12/13/2021,12/15/2021,Foundation,19
12/23/2021,12/27/2021,The Crater,17|18|19
1/3/2022,1/5/2022,Fort Atlas,21
1/10/2022,1/12/2022,Foundation,22
1/17/2022,1/19/2022,The Crater,23
1/27/2022,1/31/2022,Fort Atlas,21|22|23
2/7/2022,2/9/2022,Foundation,1
2/14/2022,2/16/2022,The Crater,2
2/21/2022,2/23/2022,Fort Atlas,3
3/3/2022,3/7/2022,Foundation,1|2|3
3/14/2022,3/16/2022,The Crater,5
3/21/2022,3/23/2022,Fort Atlas,6
3/28/2022,3/30/2022,Foundation,7
4/7/2022,4/11/2022,The Crater,5|6|7
4/18/2022,4/20/2022,Fort Atlas,9
4/25/2022,4/27/2022,Foundation,10
5/2/2022,5/4/2022,The Crater,11
5/12/2022,5/16/2022,Fort Atlas,9|10|11
5/23/2022,5/25/2022,Foundation,13
5/30/2022,6/1/2022,The Crater,14
6/6/2022,6/8/2022,Fort Atlas,15
6/16/2022,6/20/2022,Foundation,13|14|15
6/27/2022,6/29/2022,The Crater,17
7/4/2022,7/6/2022,Fort Atlas,18
7/11/2022,7/13/2022,Foundation,19
7/21/2022,7/25/2022,The Crater,17|18|19
8/1/2022,8/3/2022,Fort Atlas,21
8/8/2022,8/10/2022,Foundation,22
8/15/2022,8/17/2022,The Crater,23
8/25/2022,8/29/2022,Fort Atlas,21|22|23
9/5/2022,9/7/2022,Foundation,1
9/12/2022,9/14/2022,The Crater,2
9/19/2022,9/21/2022,Fort Atlas,3
9/29/2022,10/3/2022,Foundation,1|2|3
10/10/2022,10/12/2022,The Crater,5
10/17/2022,10/19/2022,Fort Atlas,6
10/24/2022,10/26/2022,Foundation,7
11/3/2022,11/7/2022,The Crater,5|6|7
11/14/2022,11/16/2022,Fort Atlas,9
11/21/2022,11/23/2022,Foundation,10
11/28/2022,11/30/2022,The Crater,11
12/8/2022,12/12/2022,Fort Atlas,9|10|11
12/19/2022,12/21/2022,Foundation,13
12/26/2022,12/28/2022,The Crater,14
1/2/2023,1/4/2023,Fort Atlas,15
1/12/2023,1/16/2023,The Whitespring Resort,13|14|15
1/23/2023,1/25/2023,Foundation,17
1/30/2023,2/1/2023,The Crater,18
2/6/2023,2/8/2023,Fort Atlas,19
2/16/2023,2/20/2023,The Whitespring Resort,17|18|19
2/27/2023,3/1/2023,Foundation,21
3/6/2023,3/8/2023,The Crater,22
3/13/2023,3/15/2023,Fort Atlas,23
3/23/2023,3/27/2023,The Whitespring Resort,21|22|23
4/3/2023,4/5/2023,Foundation,1
4/10/2023,4/12/2023,The Crater,2
4/17/2023,4/19/2023,Fort Atlas,3
4/27/2023,5/1/2023,The Whitespring Resort,1|2|3
5/8/2023,5/10/2023,Foundation,5
5/15/2023,5/17/2023,The Crater,6
5/22/2023,5/24/2023,Fort Atlas,7
6/1/2023,6/5/2023,The Whitespring Resort,5|6|7
6/12/2023,6/14/2023,Foundation,9
6/19/2023,6/21/2023,The Crater,10
6/26/2023,6/28/2023,Fort Atlas,11
7/6/2023,7/10/2023,The Whitespring Resort,9|10|11
7/17/2023,7/19/2023,Foundation,13
7/24/2023,7/26/2023,The Crater,14
7/31/2023,8/2/2023,Fort Atlas,15
8/10/2023,8/14/2023,The Whitespring Resort,13|14|15
8/21/2023,8/23/2023,Foundation,17
8/28/2023,8/30/2023,The Crater,18
9/4/2023,9/6/2023,Fort Atlas,19
9/14/2023,9/18/2023,The Whitespring Resort,17|18|19
9/25/2023,9/27/2023,Foundation,21
10/2/2023,10/4/2023,The Crater,22
10/9/2023,10/11/2023,Fort Atlas,23
10/19/2023,10/23/2023,The Whitespring Resort,21|22|23
10/30/2023,11/1/2023,Foundation,1
11/6/2023,11/8/2023,The Crater,2
11/13/2023,11/15/2023,Fort Atlas,3
11/23/2023,11/27/2023,The Whitespring Resort,1|2|3
12/4/2023,12/6/2023,Foundation,5
12/11/2023,12/13/2023,The Crater,6
12/18/2023,12/20/2023,Fort Atlas,7
12/28/2023,1/1/2024,The Whitespring Resort,5|6|7
1/8/2024,1/10/2024,Foundation,9
1/15/2024,1/17/2024,The Crater,10
1/22/2024,1/24/2024,Fort Atlas,11
2/1/2024,2/5/2024,The Whitespring Resort,9|10|11
2/12/2024,2/14/2024,Foundation,13
2/19/2024,2/21/2024,The Crater,14
2/26/2024,2/28/2024,Fort Atlas,15
3/7/2024,3/11/2024,The Whitespring Resort,13|14|15
3/18/2024,3/20/2024,Foundation,17
3/25/2024,3/27/2024,The Crater,18
4/1/2024,4/3/2024,Fort Atlas,19
4/11/2024,4/15/2024,The Whitespring Resort,17|18|19
4/22/2024,4/24/2024,Foundation,21
4/29/2024,5/1/2024,The Crater,22
5/6/2024,5/8/2024,Fort Atlas,23
5/16/2024,5/20/2024,The Whitespring Resort,21|22|23
5/27/2024,5/29/2024,Foundation,1
6/3/2024,6/5/2024,The Crater,2
6/10/2024,6/12/2024,Fort Atlas,3
6/20/2024,6/24/2024,The Whitespring Resort,1|2|3
7/1/2024,7/3/2024,Foundation,5
7/8/2024,7/10/2024,The Crater,6
7/15/2024,7/17/2024,Fort Atlas,7
7/25/2024,7/29/2024,The Whitespring Resort,5|6|7
8/5/2024,8/7/2024,Foundation,9
8/12/2024,8/14/2024,The Crater,10
8/19/2024,8/21/2024,Fort Atlas,11
8/29/2024,9/2/2024,The Whitespring Resort,9|10|11
9/9/2024,9/11/2024,Foundation,13
9/16/2024,9/18/2024,The Crater,14
9/23/2024,9/25/2024,Fort Atlas,15
10/3/2024,10/7/2024,The Whitespring Resort,13|14|15
10/14/2024,10/16/2024,Foundation,17
10/21/2024,10/23/2024,The Crater,18
10/28/2024,10/30/2024,Fort Atlas,19
11/7/2024,11/11/2024,The Whitespring Resort,17|18|19
11/18/2024,11/20/2024,Foundation,21
11/25/2024,11/27/2024,The Crater,22
12/2/2024,12/4/2024,Fort Atlas,23
12/12/2024,12/16/2024,The Whitespring Resort,21|22|23
12/23/2024,12/25/2024,Foundation,1
12/30/2024,1/1/2025,The Crater,2
1/6/2025,1/8/2025,Fort Atlas,3
1/16/2025,1/20/2025,The Whitespring Resort,1|2|3
1/27/2025,1/29/2025,Foundation,5
